i,c16,i,i,i,i
1,Gold,200000,40,7,16
1,Gold,12000,8,5,1
1,Gold,3000,6,3,13
1,Marble,5400,54,1,3
1,Copper,106500,71,5,8
1,Aluminum,28000,14,6,14
1,Iron,98000,49,6,5
1,Aluminum,19600,98,2,1
1,Aluminum,800,4,2,5
1,Marble,74000,37,6,3
1,Gold,38500,77,3,2
1,Sandstone,4800,24,2,12
1,Aluminum,61500,41,5,12
1,Iron,40500,81,3,1
1,Marble,90000,18,7,13
1,Sandstone,180000,90,6,14
1,Sandstone,7700,77,1,13
1,Iron,26500,53,3,5
1,Copper,92000,92,4,15
1,Copper,2800,28,1,17
1,Sandstone,235000,47,7,12
1,Marble,9000,9,4,11
1,Sandstone,41000,82,3,15
1,Copper,59000,59,4,15
1,Iron,340000,68,7,19
1,Sandstone,3000,30,1,6
1,Sandstone,25000,50,3,9
1,Gold,47000,47,4,7
1,Aluminum,24000,12,6,11
1,Sandstone,33000,66,3,13
1,Aluminum,5600,28,2,12
1,Gold,133500,89,5,5
1,Gold,78000,52,5,2
1,Marble,70000,70,4,6
1,Iron,16500,11,5,4
1,Iron,186000,93,6,17
1,Gold,8700,87,1,16
1,Aluminum,100000,20,7,2
1,Marble,4500,9,3,2
1,Aluminum,7300,73,1,13
1,Iron,2500,25,1,8
1,Iron,500,1,3,9
1,Iron,14000,7,6,16
1,Copper,45000,9,7,13
1,Gold,127500,85,5,18
1,Sandstone,9200,92,1,9
1,Gold,36500,73,3,20
1,Gold,480000,96,7,16
1,Copper,48000,32,5,5
1,Gold,61000,61,4,8
1,Aluminum,19200,96,2,15
1,Sandstone,94000,94,4,19
1,Aluminum,18500,37,3,1
1,Copper,123000,82,5,16
1,Iron,4800,48,1,2
1,Sandstone,16000,8,6,13
1,Gold,100500,67,5,6
1,Aluminum,78000,52,5,3
1,Iron,132000,88,5,17
1,Copper,37500,25,5,2
1,Copper,19000,95,2,17
1,Copper,1000,5,2,8
1,Sandstone,20500,41,3,18
1,Marble,68000,68,4,7
1,Copper,28500,19,5,18
1,Marble,184000,92,6,4
1,Iron,15000,10,5,16
1,Iron,9400,94,1,7
1,Gold,59000,59,4,3
1,Iron,350000,70,7,13
1,Marble,32500,65,3,15
1,Copper,106500,71,5,14
1,Gold,182000,91,6,18
1,Iron,380000,76,7,5
1,Copper,27000,54,3,2
1,Iron,3600,18,2,15
1,Aluminum,96000,48,6,8
1,Copper,9000,6,5,13
1,Gold,11800,59,2,15
1,Sandstone,4600,46,1,11
1,Gold,465000,93,7,20
1,Iron,12200,61,2,5
1,Iron,6000,3,6,3
1,Copper,174000,87,6,3
1,Aluminum,11000,11,4,16
1,Sandstone,81000,81,4,15
1,Marble,48000,48,4,5
1,Iron,49500,33,5,8
1,Sandstone,5500,11,3,12
1,Aluminum,390000,78,7,4
1,Iron,23000,23,4,4
1,Aluminum,6000,6,4,8
1,Gold,260000,52,7,13
1,Aluminum,108000,72,5,4
1,Marble,8100,81,1,17
1,Copper,48000,32,5,19
1,Copper,40000,80,3,15
1,Marble,8400,42,2,16
1,Iron,130000,26,7,19
1,Aluminum,375000,75,7,7
1,Iron,78000,52,5,15
1,Aluminum,50000,10,7,17
1,Aluminum,25000,5,7,11
1,Aluminum,370000,74,7,11
1,Iron,120000,80,5,13
1,Sandstone,4100,41,1,19
1,Marble,20000,4,7,14
1,Copper,18000,9,6,2
1,Copper,130500,87,5,5
1,Sandstone,600,6,1,6
1,Iron,17600,88,2,18
1,Iron,3000,2,5,10
1,Iron,6300,63,1,1
1,Sandstone,18800,94,2,8
1,Marble,134000,67,6,4
1,Marble,2200,11,2,20
1,Marble,80000,80,4,16
1,Iron,11500,23,3,19
1,Iron,385000,77,7,9
1,Gold,32000,64,3,3
1,Copper,6000,30,2,7
1,Copper,800,8,1,11
1,Marble,110000,55,6,6
1,Aluminum,155000,31,7,16
1,Sandstone,48000,32,5,6
1,Sandstone,162000,81,6,12
1,Marble,42500,85,3,13
1,Aluminum,54000,54,4,7
1,Marble,30500,61,3,15
1,Copper,170000,34,7,3
1,Sandstone,85000,85,4,20
1,Iron,115000,23,7,15
1,Aluminum,10500,7,5,10
1,Gold,6500,13,3,6
1,Marble,10500,21,3,1
1,Marble,15000,15,4,8
1,Gold,200,1,2,8
1,Copper,27500,55,3,20
1,Sandstone,62000,62,4,14
1,Gold,8600,86,1,5
1,Aluminum,115000,23,7,16
1,Marble,78000,39,6,5
1,Marble,45000,90,3,20
1,Sandstone,126000,84,5,18
1,Sandstone,47000,94,3,11
1,Iron,72000,36,6,10
1,Sandstone,3600,18,2,19
1,Sandstone,55500,37,5,18
1,Gold,34500,23,5,7
1,Iron,2300,23,1,5
1,Copper,32000,16,6,3
1,Copper,1500,3,3,5
1,Aluminum,295000,59,7,2
1,Marble,345000,69,7,19
1,Sandstone,18000,18,4,17
1,Gold,42000,21,6,10
1,Gold,800,4,2,2
1,Sandstone,35000,35,4,3
1,Iron,500,5,1,19
1,Marble,100000,50,6,18
1,Copper,22000,44,3,18
1,Iron,135000,90,5,2
1,Sandstone,118500,79,5,9
1,Gold,164000,82,6,5
1,Sandstone,35000,35,4,12
1,Marble,445000,89,7,12
1,Copper,17400,87,2,19
1,Aluminum,11500,23,3,18
1,Aluminum,16000,16,4,19
1,Gold,52500,35,5,20
1,Aluminum,49000,98,3,11
1,Iron,76000,38,6,14
1,Marble,79500,53,5,8
1,Copper,9300,93,1,10
1,Sandstone,5500,55,1,4
1,Aluminum,385000,77,7,18
1,Iron,147000,98,5,14
1,Copper,78000,78,4,5
1,Gold,29000,29,4,9
1,Marble,600,6,1,15
1,Gold,91500,61,5,3
1,Marble,6000,60,1,19
1,Gold,141000,94,5,6
1,Copper,9000,45,2,9
1,Aluminum,3400,17,2,12
1,Gold,71000,71,4,3
1,Copper,16600,83,2,19
1,Gold,71000,71,4,9
1,Copper,8000,4,6,19
1,Aluminum,6200,31,2,18
1,Marble,129000,86,5,2
1,Sandstone,49500,99,3,19
1,Copper,10600,53,2,2
1,Iron,24000,16,5,20
1,Sandstone,2000,2,4,20
1,Gold,400,4,1,1
1,Sandstone,14000,14,4,9
1,Copper,4100,41,1,5
1,Aluminum,110000,55,6,15
1,Gold,1800,18,1,19
1,Iron,8100,81,1,18
1,Sandstone,9600,48,2,4
1,Gold,10000,100,1,11
1,Marble,129000,86,5,13
1,Copper,4000,40,1,3
1,Sandstone,2100,21,1,13
1,Iron,111000,74,5,3
1,Sandstone,34500,23,5,19
1,Iron,50000,10,7,5
1,Gold,290000,58,7,19
1,Marble,37000,37,4,7
1,Copper,5000,5,4,12
1,Gold,124500,83,5,15
1,Marble,12600,63,2,19
1,Iron,3500,7,3,2
1,Marble,80000,16,7,11
1,Sandstone,124500,83,5,3
1,Aluminum,19600,98,2,9
1,Copper,485000,97,7,10
1,Marble,30000,60,3,17
1,Aluminum,13500,27,3,8
1,Copper,104000,52,6,6
1,Sandstone,5600,28,2,20
1,Copper,154000,77,6,18
1,Iron,5500,11,3,18
1,Marble,8400,42,2,20
1,Aluminum,8000,40,2,12
1,Iron,5900,59,1,4
1,Copper,85000,85,4,9
1,Aluminum,34000,68,3,10
1,Sandstone,43500,29,5,10
1,Sandstone,290000,58,7,16
1,Sandstone,124000,62,6,6
1,Marble,132000,66,6,4
1,Sandstone,65000,65,4,5
1,Aluminum,17000,34,3,1
1,Aluminum,8100,81,1,20
1,Sandstone,87000,87,4,9
1,Iron,410000,82,7,19
1,Iron,14500,29,3,7
1,Marble,120000,24,7,7
1,Sandstone,46500,31,5,18
1,Marble,13500,9,5,14
1,Iron,21000,42,3,4
1,Aluminum,12800,64,2,14
1,Sandstone,100,1,1,3
1,Marble,42000,42,4,5
1,Sandstone,36000,18,6,10
1,Iron,102000,68,5,11
1,Marble,154000,77,6,16
1,Gold,100,1,1,20
1,Gold,110000,55,6,2
1,Marble,47000,47,4,19
1,Iron,6900,69,1,17
1,Aluminum,5500,55,1,11
1,Iron,12200,61,2,18
1,Sandstone,48000,48,4,18
1,Marble,150000,100,5,5
1,Aluminum,42000,28,5,7
1,Iron,7500,5,5,7
1,Copper,116000,58,6,8
1,Aluminum,57000,57,4,14
1,Gold,90000,60,5,5
1,Copper,3800,38,1,13
1,Iron,500000,100,7,7
1,Sandstone,78000,78,4,7
1,Sandstone,3800,38,1,20
1,Aluminum,7300,73,1,18
1,Sandstone,4500,45,1,14
2,Aluminum,110000,55,6,2
2,Iron,325000,65,7,17
2,Gold,9200,46,2,7
2,Copper,13000,65,2,20
2,Iron,440000,88,7,2
2,Sandstone,500000,100,7,7
2,Copper,51000,34,5,8
2,Iron,130000,26,7,13
2,Sandstone,19400,97,2,4
2,Marble,16000,16,4,10
2,Sandstone,35500,71,3,11
2,Aluminum,10000,100,1,20
2,Gold,132000,66,6,13
2,Aluminum,50000,50,4,3
2,Iron,4500,3,5,9
2,Iron,17000,34,3,2
2,Iron,52500,35,5,1
2,Aluminum,150000,100,5,8
2,Marble,115000,23,7,1
2,Aluminum,4600,46,1,11
2,Iron,30000,30,4,16
2,Iron,2000,4,3,3
2,Gold,19800,99,2,11
2,Copper,164000,82,6,15
2,Marble,3600,18,2,12
2,Copper,6200,31,2,3
2,Aluminum,3300,33,1,17
2,Copper,41000,82,3,7
2,Sandstone,44500,89,3,17
2,Aluminum,4500,9,3,2
2,Copper,5600,56,1,1
2,Copper,35000,35,4,16
2,Copper,38000,19,6,15
2,Sandstone,73000,73,4,11
2,Copper,14600,73,2,17
2,Marble,2600,13,2,14
2,Copper,10000,5,6,5
2,Iron,6900,69,1,5
2,Gold,34500,69,3,16
2,Copper,6900,69,1,2
2,Aluminum,450000,90,7,8
2,Aluminum,6000,4,5,7
2,Copper,700,7,1,1
2,Marble,270000,54,7,4
2,Iron,194000,97,6,16
2,Gold,91000,91,4,17
2,Gold,305000,61,7,3
2,Marble,135000,90,5,3
2,Iron,115500,77,5,4
2,Iron,41500,83,3,1
2,Iron,60000,40,5,17
2,Aluminum,9200,92,1,20
2,Sandstone,88000,88,4,14
2,Sandstone,27000,18,5,18
2,Gold,22000,44,3,11
2,Marble,42500,85,3,20
2,Marble,235000,47,7,8
2,Iron,70000,35,6,13
2,Marble,84000,84,4,3
2,Marble,5900,59,1,10
2,Gold,4200,21,2,18
2,Gold,31000,31,4,6
2,Iron,75000,50,5,17
2,Sandstone,7600,38,2,11
2,Marble,17000,17,4,10
2,Gold,7000,14,3,18
2,Gold,285000,57,7,11
2,Marble,182000,91,6,4
2,Iron,3500,7,3,13
2,Iron,50000,100,3,20
2,Copper,18500,37,3,13
2,Marble,13400,67,2,13
2,Iron,30000,60,3,9
2,Copper,1200,6,2,9
2,Marble,7500,15,3,10
2,Copper,355000,71,7,6
2,Sandstone,4200,42,1,13
2,Copper,78000,78,4,4
2,Iron,13500,27,3,13
2,Gold,7200,36,2,18
2,Gold,92000,46,6,2
2,Gold,17600,88,2,7
2,Copper,420000,84,7,18
2,Sandstone,5800,58,1,2
2,Iron,240000,48,7,8
2,Copper,69000,69,4,7
2,Copper,172000,86,6,4
2,Iron,10500,7,5,13
2,Marble,265000,53,7,12
2,Copper,9100,91,1,10
2,Sandstone,27000,27,4,19
2,Iron,105000,21,7,5
2,Copper,365000,73,7,20
2,Iron,6900,69,1,5
2,Marble,285000,57,7,18
2,Copper,800,4,2,10
2,Iron,225000,45,7,12
2,Sandstone,3000,30,1,1
2,Sandstone,38500,77,3,14
2,Sandstone,375000,75,7,8
2,Iron,36500,73,3,14
2,Sandstone,21000,42,3,15
2,Iron,7800,78,1,14
2,Gold,3500,7,3,3
2,Copper,30000,15,6,5
2,Aluminum,445000,89,7,18
2,Copper,5500,55,1,1
2,Gold,9800,49,2,7
2,Marble,120000,24,7,4
2,Gold,1500,3,3,7
2,Sandstone,49000,98,3,17
2,Aluminum,470000,94,7,15
2,Iron,13000,26,3,18
2,Sandstone,16000,80,2,1
2,Gold,94000,94,4,7
2,Aluminum,4800,24,2,7
2,Copper,13400,67,2,8
2,Marble,61000,61,4,15
2,Gold,31000,62,3,13
2,Iron,1100,11,1,5
2,Gold,18600,93,2,18
2,Marble,6800,68,1,9
2,Aluminum,4500,9,3,8
2,Aluminum,415000,83,7,8
2,Iron,4200,21,2,1
2,Sandstone,65000,13,7,13
2,Gold,10600,53,2,12
2,Marble,3200,16,2,6
2,Gold,13800,69,2,8
2,Gold,31500,63,3,5
2,Gold,47000,47,4,9
2,Aluminum,7400,74,1,20
2,Iron,116000,58,6,18
2,Gold,34000,34,4,19
2,Aluminum,117000,78,5,10
2,Iron,98000,98,4,9
2,Aluminum,48500,97,3,20
2,Sandstone,1100,11,1,11
2,Gold,13000,13,4,18
2,Marble,139500,93,5,10
2,Copper,12000,12,4,3
2,Iron,9800,98,1,12
2,Copper,51000,34,5,15
2,Aluminum,6900,69,1,8
2,Copper,81000,54,5,9
2,Gold,92000,46,6,18
2,Iron,5800,58,1,12
2,Sandstone,94000,94,4,12
2,Iron,134000,67,6,11
2,Gold,300000,60,7,13
2,Aluminum,8600,43,2,6
2,Aluminum,54000,36,5,18
2,Gold,16800,84,2,7
2,Aluminum,200,1,2,6
2,Marble,8200,82,1,4
2,Gold,65000,13,7,16
2,Aluminum,33000,33,4,6
2,Copper,14200,71,2,3
2,Aluminum,205000,41,7,12
2,Sandstone,56000,28,6,1
2,Sandstone,14200,71,2,1
2,Aluminum,128000,64,6,19
2,Gold,92000,46,6,18
2,Sandstone,315000,63,7,18
2,Aluminum,158000,79,6,12
2,Copper,490000,98,7,14
2,Sandstone,108000,72,5,16
2,Sandstone,2200,11,2,1
2,Sandstone,9000,45,2,18
2,Aluminum,365000,73,7,14
2,Iron,9700,97,1,9
2,Aluminum,6500,65,1,15
2,Sandstone,9200,92,1,10
2,Aluminum,9400,47,2,4
2,Copper,20000,10,6,14
2,Sandstone,31000,31,4,10
2,Sandstone,25000,5,7,3
2,Copper,100000,20,7,9
2,Iron,3000,15,2,15
2,Iron,31500,21,5,3
2,Sandstone,495000,99,7,20
2,Copper,84000,56,5,5
2,Sandstone,6000,4,5,8
2,Marble,22000,44,3,19
2,Copper,24000,12,6,11
2,Gold,162000,81,6,19
2,Copper,14200,71,2,3
2,Iron,22000,22,4,6
2,Aluminum,178000,89,6,7
2,Aluminum,9200,46,2,6
2,Gold,70500,47,5,6
2,Gold,48000,24,6,20
2,Marble,103500,69,5,14
2,Copper,49500,33,5,10
2,Copper,136000,68,6,12
2,Marble,1800,9,2,2
2,Marble,28500,57,3,10
2,Gold,11400,57,2,19
2,Sandstone,410000,82,7,18
2,Iron,28000,14,6,6
2,Sandstone,3500,35,1,13
2,Marble,435000,87,7,15
2,Gold,92000,46,6,11
2,Sandstone,6900,69,1,1
2,Copper,5700,57,1,4
2,Marble,34000,34,4,9
2,Copper,37000,37,4,5
2,Marble,10500,21,3,8
2,Sandstone,23500,47,3,17
2,Iron,194000,97,6,13
2,Gold,405000,81,7,6
2,Sandstone,9600,48,2,8
2,Aluminum,3800,38,1,14
2,Sandstone,12800,64,2,19
2,Marble,12000,12,4,11
2,Aluminum,111000,74,5,19
2,Marble,121500,81,5,9
2,Aluminum,92000,46,6,15
2,Sandstone,35000,35,4,18
2,Copper,158000,79,6,10
2,Gold,22000,44,3,18
2,Aluminum,42500,85,3,10
2,Gold,89000,89,4,8
2,Copper,8000,8,4,7
2,Gold,1000,5,2,6
2,Marble,73500,49,5,9
2,Gold,800,4,2,3
2,Sandstone,90000,90,4,11
2,Iron,3500,35,1,3
2,Gold,7600,38,2,19
2,Sandstone,8400,84,1,9
2,Aluminum,27000,18,5,8
2,Sandstone,63000,63,4,3
2,Gold,4300,43,1,1
2,Sandstone,52000,26,6,10
2,Sandstone,7100,71,1,1
2,Marble,56000,56,4,4
2,Copper,1800,9,2,18
2,Sandstone,176000,88,6,17
2,Gold,50000,10,7,17
2,Marble,132000,66,6,9
2,Copper,29000,29,4,15
2,Iron,21000,14,5,18
2,Aluminum,140000,70,6,19
2,Marble,19000,95,2,6
2,Marble,4400,22,2,10
2,Sandstone,11400,57,2,7
2,Copper,32000,16,6,17
2,Iron,130000,65,6,16
2,Sandstone,38000,19,6,10
2,Copper,8300,83,1,3
2,Iron,2200,11,2,5
2,Sandstone,5000,10,3,18
2,Marble,6000,4,5,11
2,Sandstone,9200,46,2,9
2,Gold,142500,95,5,20
2,Sandstone,270000,54,7,7
2,Marble,17000,34,3,19
2,Copper,106500,71,5,17
2,Marble,61500,41,5,5
2,Gold,133500,89,5,9
2,Copper,92000,46,6,19
2,Gold,380000,76,7,4
2,Gold,46500,93,3,14
2,Aluminum,305000,61,7,4
2,Gold,7400,37,2,16
2,Aluminum,2900,29,1,5
2,Gold,43500,87,3,12
2,Aluminum,1900,19,1,16
2,Gold,2000,4,3,2
2,Marble,19500,39,3,13
2,Copper,138000,92,5,20
2,Gold,103500,69,5,18
2,Sandstone,40000,20,6,5
2,Marble,36000,24,5,16
2,Iron,45000,30,5,20
2,Gold,7100,71,1,2
2,Iron,49000,49,4,12
2,Aluminum,180000,36,7,9
2,Marble,355000,71,7,7
2,Sandstone,73000,73,4,1
2,Gold,400,2,2,19
2,Copper,40000,8,7,8
2,Aluminum,17000,85,2,20
2,Sandstone,16600,83,2,7
2,Iron,600,6,1,16
2,Gold,145000,29,7,12
2,Aluminum,118000,59,6,1
2,Marble,93000,93,4,19
2,Aluminum,260000,52,7,12
2,Aluminum,84000,56,5,15
2,Sandstone,235000,47,7,4
2,Gold,6000,4,5,19
2,Sandstone,39000,78,3,12
2,Sandstone,15000,10,5,13
2,Copper,78000,52,5,4
2,Marble,96000,64,5,17
2,Marble,129000,86,5,17
2,Copper,80000,16,7,19
2,Sandstone,69000,46,5,2
2,Aluminum,15400,77,2,9
2,Iron,8800,88,1,15
2,Aluminum,16500,11,5,4
2,Copper,128000,64,6,2
2,Gold,900,9,1,9
2,Gold,18200,91,2,9
2,Sandstone,10000,100,1,8
2,Marble,355000,71,7,8
2,Copper,2100,21,1,18
2,Gold,45500,91,3,8
2,Iron,35500,71,3,20
2,Copper,72000,48,5,19
2,Aluminum,174000,87,6,12
2,Iron,100500,67,5,6
2,Gold,27000,18,5,1
2,Sandstone,72000,48,5,18
2,Copper,30000,15,6,8
2,Copper,455000,91,7,10
2,Marble,93000,62,5,10
2,Sandstone,8200,82,1,6
2,Gold,415000,83,7,5
2,Sandstone,40000,80,3,5
2,Marble,500,5,1,6
2,Gold,1800,18,1,3
2,Sandstone,95000,95,4,20
2,Gold,90000,90,4,2
2,Gold,99000,66,5,13
2,Gold,33000,22,5,2
2,Copper,600,3,2,9
2,Gold,195000,39,7,14
2,Marble,4600,23,2,9
2,Aluminum,60000,40,5,3
2,Sandstone,400000,80,7,8
2,Marble,50000,100,3,7
2,Marble,2000,10,2,9
2,Iron,18000,18,4,7
2,Iron,64000,64,4,16
2,Gold,44500,89,3,1
2,Iron,800,4,2,17
2,Gold,9000,6,5,9
2,Copper,80000,80,4,20
2,Gold,28000,28,4,14
2,Gold,150000,30,7,5
2,Iron,205000,41,7,5
2,Aluminum,19800,99,2,2
2,Aluminum,112000,56,6,11
2,Copper,470000,94,7,13
2,Sandstone,114000,76,5,20
2,Marble,35000,70,3,17
2,Aluminum,71000,71,4,11
2,Copper,4000,40,1,3
2,Marble,9600,48,2,20
2,Copper,3200,32,1,6
2,Iron,44000,22,6,1
2,Sandstone,142500,95,5,17
2,Aluminum,60000,60,4,5
2,Copper,4400,44,1,17
2,Gold,28500,57,3,5
2,Copper,12000,8,5,18
2,Iron,1000,10,1,15
2,Gold,6100,61,1,7
2,Iron,95000,95,4,1
2,Aluminum,495000,99,7,13
2,Iron,1600,8,2,4
2,Copper,22000,11,6,3
2,Copper,3200,16,2,15
2,Aluminum,16500,33,3,14
2,Copper,57000,38,5,13
2,Gold,36000,18,6,19
2,Marble,100000,20,7,15
2,Marble,365000,73,7,18
2,Gold,9300,93,1,8
2,Sandstone,56000,28,6,3
2,Iron,117000,78,5,12
2,Sandstone,1500,3,3,1
2,Iron,92000,46,6,19
2,Marble,50000,50,4,13
2,Iron,64500,43,5,13
2,Iron,194000,97,6,15
2,Aluminum,35000,70,3,8
2,Copper,139500,93,5,15
2,Copper,9800,98,1,6
2,Gold,395000,79,7,5
2,Marble,130500,87,5,19
2,Gold,11600,58,2,18
2,Iron,24500,49,3,20
2,Copper,2500,25,1,15
2,Iron,3100,31,1,9
2,Copper,19000,38,3,3
2,Aluminum,13800,69,2,9
2,Sandstone,29000,29,4,17
2,Iron,80000,16,7,7
2,Copper,129000,86,5,2
2,Sandstone,16000,80,2,6
2,Sandstone,1500,3,3,1
2,Gold,4200,42,1,13
2,Aluminum,12800,64,2,8
2,Copper,86000,43,6,1
2,Aluminum,81000,81,4,11
2,Sandstone,148500,99,5,19
2,Sandstone,78000,39,6,17
2,Aluminum,136500,91,5,18
2,Gold,49000,49,4,4
2,Iron,600,3,2,12
2,Gold,99000,66,5,12
2,Marble,46500,31,5,3
2,Gold,142500,95,5,2
2,Aluminum,3700,37,1,4
2,Aluminum,6600,66,1,11
2,Copper,49500,99,3,18
2,Aluminum,12400,62,2,16
