i,c16,i,i,i,i
1,Gold,5900,59,1,10
1,Copper,19000,95,2,2
1,Copper,7700,77,1,9
1,Gold,106000,53,6,9
1,Iron,55000,11,7,1
1,Copper,5000,25,2,19
1,Gold,1000,2,3,6
1,Gold,78000,78,4,20
1,Copper,16000,32,3,19
1,Iron,315000,63,7,6
1,Marble,3800,19,2,13
1,Copper,4300,43,1,15
1,Iron,33500,67,3,2
1,Sandstone,50000,50,4,6
1,Marble,37000,74,3,14
1,Gold,400000,80,7,16
1,Sandstone,32000,64,3,6
1,Copper,7000,70,1,18
1,Aluminum,14000,28,3,13
1,Sandstone,3500,35,1,1
1,Iron,49500,99,3,7
1,Iron,500000,100,7,12
1,Marble,415000,83,7,10
1,Marble,5800,29,2,9
1,Sandstone,140000,70,6,5
1,Aluminum,114000,76,5,17
1,Marble,3400,17,2,1
1,Gold,465000,93,7,15
1,Sandstone,12000,12,4,11
1,Aluminum,60000,30,6,16
1,Aluminum,475000,95,7,12
1,Copper,36000,24,5,16
1,Copper,10000,10,4,6
1,Sandstone,55500,37,5,11
1,Iron,19200,96,2,2
1,Aluminum,45000,45,4,16
1,Iron,55000,55,4,9
1,Aluminum,126000,63,6,15
1,Iron,17800,89,2,13
1,Gold,190000,95,6,13
1,Marble,34000,34,4,8
1,Aluminum,200,2,1,8
1,Copper,460000,92,7,6
1,Marble,28500,19,5,13
1,Gold,97500,65,5,1
1,Copper,180000,36,7,3
1,Sandstone,25000,50,3,15
1,Aluminum,156000,78,6,7
1,Marble,44000,88,3,2
1,Copper,8600,43,2,19
1,Sandstone,12000,6,6,13
1,Sandstone,2100,21,1,10
1,Sandstone,100000,20,7,4
1,Aluminum,6000,3,6,6
1,Gold,3500,35,1,20
1,Copper,340000,68,7,12
1,Marble,1800,18,1,10
1,Sandstone,9800,98,1,5
1,Gold,42500,85,3,15
1,Iron,3300,33,1,2
1,Marble,180000,36,7,4
1,Sandstone,8200,41,2,7
1,Sandstone,108000,72,5,1
1,Copper,96000,96,4,19
1,Iron,285000,57,7,6
1,Sandstone,75000,15,7,1
1,Marble,38000,19,6,6
1,Aluminum,94000,94,4,11
1,Copper,16500,33,3,7
1,Gold,97500,65,5,14
1,Iron,132000,88,5,18
1,Aluminum,11500,23,3,5
1,Aluminum,41000,41,4,16
1,Marble,46000,92,3,17
1,Aluminum,35500,71,3,7
1,Gold,12000,8,5,12
1,Aluminum,19000,38,3,10
1,Gold,144000,96,5,11
1,Iron,23000,46,3,17
1,Aluminum,800,8,1,16
1,Iron,6000,3,6,7
1,Marble,56000,56,4,16
1,Iron,9000,18,3,9
1,Iron,21000,14,5,15
1,Marble,2000,10,2,10
1,Aluminum,18800,94,2,8
1,Copper,166000,83,6,17
1,Gold,72000,72,4,9
1,Iron,19500,13,5,6
1,Aluminum,210000,42,7,11
1,Aluminum,17000,85,2,5
1,Sandstone,144000,72,6,12
1,Aluminum,8600,43,2,3
1,Gold,24000,12,6,18
1,Copper,86000,43,6,7
1,Iron,106500,71,5,13
1,Sandstone,172000,86,6,20
1,Gold,1800,9,2,20
1,Gold,300,3,1,19
1,Marble,85000,85,4,14
1,Iron,22000,11,6,5
1,Sandstone,495000,99,7,3
2,Copper,6900,69,1,6
2,Copper,4800,48,1,10
2,Iron,144000,96,5,19
2,Sandstone,97500,65,5,18
2,Marble,49000,98,3,12
2,Gold,111000,74,5,18
2,Gold,17600,88,2,3
2,Copper,9300,93,1,7
2,Gold,178000,89,6,17
2,Sandstone,17500,35,3,15
2,Marble,310000,62,7,5
2,Gold,54000,54,4,6
2,Aluminum,37500,75,3,14
2,Marble,50000,25,6,10
2,Gold,90000,90,4,12
2,Iron,45000,30,5,1
2,Gold,5100,51,1,3
2,Gold,16000,16,4,14
2,Sandstone,6100,61,1,11
2,Copper,19500,39,3,3
2,Aluminum,176000,88,6,18
2,Gold,16800,84,2,20
2,Iron,300000,60,7,7
2,Gold,136500,91,5,5
2,Copper,1500,1,5,20
2,Iron,33500,67,3,15
2,Aluminum,5200,52,1,12
2,Sandstone,145000,29,7,19
2,Sandstone,32000,32,4,5
2,Gold,73500,49,5,13
2,Marble,14000,28,3,1
2,Iron,87000,58,5,2
2,Gold,40000,8,7,13
2,Sandstone,1000,5,2,7
2,Gold,2600,26,1,12
2,Iron,600,3,2,9
2,Copper,14200,71,2,12
2,Marble,43500,29,5,14
2,Copper,80000,80,4,9
2,Marble,68000,68,4,12
2,Aluminum,33000,33,4,13
2,Aluminum,38000,38,4,1
2,Gold,73500,49,5,8
2,Copper,146000,73,6,8
2,Sandstone,4900,49,1,1
2,Sandstone,74000,74,4,20
2,Marble,190000,38,7,19
2,Gold,6900,69,1,7
2,Copper,13500,9,5,8
2,Iron,4400,22,2,6
2,Aluminum,85500,57,5,5
2,Sandstone,141000,94,5,12
2,Marble,15000,15,4,2
2,Copper,2700,27,1,3
2,Iron,2800,28,1,6
2,Marble,360000,72,7,14
2,Gold,147000,98,5,16
2,Gold,11000,22,3,4
2,Iron,24000,24,4,2
2,Copper,17500,35,3,13
2,Iron,500000,100,7,3
2,Sandstone,18000,9,6,2
2,Copper,54000,36,5,20
2,Copper,21000,42,3,11
2,Aluminum,12800,64,2,13
2,Aluminum,142500,95,5,19
2,Iron,42000,42,4,3
2,Sandstone,50000,10,7,11
2,Sandstone,425000,85,7,7
2,Marble,115500,77,5,5
2,Copper,310000,62,7,2
2,Gold,98000,98,4,10
2,Marble,900,9,1,3
2,Marble,14800,74,2,16
2,Marble,15000,75,2,8
2,Aluminum,6900,69,1,3
2,Sandstone,4400,44,1,11
2,Copper,60000,40,5,3
2,Gold,52000,26,6,8
2,Aluminum,60000,40,5,12
2,Gold,325000,65,7,20
2,Gold,7500,15,3,7
2,Marble,121500,81,5,16
2,Iron,46000,92,3,10
2,Gold,5000,5,4,11
2,Sandstone,22000,44,3,7
2,Sandstone,6300,63,1,19
2,Iron,13000,65,2,1
2,Iron,22500,15,5,3
2,Copper,118500,79,5,10
2,Gold,38000,19,6,18
2,Marble,25500,51,3,14
2,Iron,335000,67,7,1
2,Iron,3900,39,1,14
2,Gold,144000,96,5,11
2,Sandstone,17000,17,4,18
2,Aluminum,9000,18,3,14
2,Copper,42000,21,6,8
2,Iron,7500,75,1,4
2,Copper,400000,80,7,2
2,Copper,22000,44,3,20
2,Iron,44000,88,3,11
2,Gold,1500,1,5,4
2,Gold,16800,84,2,9
2,Copper,20000,10,6,19
2,Gold,144000,96,5,9
2,Iron,35000,7,7,6
2,Marble,5400,27,2,13
2,Iron,112500,75,5,18
2,Copper,5700,57,1,16
2,Copper,30500,61,3,8
2,Iron,103500,69,5,16
2,Gold,96000,96,4,15
2,Marble,7900,79,1,10
2,Marble,280000,56,7,9
2,Gold,42000,21,6,7
2,Marble,3000,3,4,7
2,Iron,5500,55,1,5
2,Aluminum,70000,35,6,3
2,Copper,10500,21,3,6
2,Copper,67000,67,4,11
2,Gold,72000,36,6,7
2,Iron,17000,85,2,5
2,Aluminum,94500,63,5,2
2,Copper,79000,79,4,5
2,Sandstone,146000,73,6,3
2,Gold,79500,53,5,18
2,Copper,8600,43,2,19
2,Copper,315000,63,7,8
2,Iron,158000,79,6,11
2,Sandstone,15000,30,3,5
2,Marble,89000,89,4,18
2,Marble,5200,26,2,13
2,Gold,166000,83,6,11
2,Iron,43000,86,3,9
2,Aluminum,160000,80,6,3
2,Copper,135000,90,5,8
2,Marble,475000,95,7,19
2,Marble,176000,88,6,16
2,Marble,8800,44,2,18
2,Marble,22500,15,5,9
2,Marble,3200,16,2,11
2,Aluminum,92000,92,4,16
2,Iron,94000,47,6,4
2,Aluminum,2100,21,1,12
2,Copper,67500,45,5,16
2,Aluminum,43000,86,3,13
2,Copper,14800,74,2,13
2,Iron,28000,14,6,10
2,Sandstone,45000,9,7,8
2,Gold,470000,94,7,12
2,Iron,4800,48,1,3
2,Gold,3000,3,4,18
2,Aluminum,7000,14,3,8
2,Copper,43500,87,3,14
2,Marble,115500,77,5,10
2,Marble,7000,35,2,16
2,Copper,142000,71,6,13
2,Marble,46000,46,4,17
2,Gold,36500,73,3,19
2,Iron,102000,51,6,15
2,Aluminum,40500,81,3,19
2,Marble,97500,65,5,12
2,Sandstone,6200,62,1,9
2,Marble,1400,7,2,6
2,Iron,6100,61,1,2
2,Gold,46000,23,6,14
2,Iron,194000,97,6,3
2,Gold,370000,74,7,2
2,Copper,78000,52,5,10
2,Sandstone,5800,58,1,10
2,Sandstone,2800,28,1,11
2,Aluminum,7700,77,1,19
2,Sandstone,5700,57,1,9
2,Iron,6400,32,2,6
2,Copper,84000,84,4,17
2,Gold,22500,45,3,16
2,Sandstone,8900,89,1,8
2,Sandstone,117000,78,5,15
2,Copper,11800,59,2,2
2,Sandstone,24000,12,6,9
2,Copper,10200,51,2,20
2,Iron,2000,1,6,11
2,Marble,8500,85,1,12
2,Marble,95000,19,7,11
2,Gold,11000,55,2,17
2,Iron,49000,98,3,8
2,Iron,37500,25,5,2
2,Marble,5000,25,2,9
2,Marble,124500,83,5,9
2,Iron,83000,83,4,10
2,Aluminum,57000,38,5,9
2,Aluminum,60000,30,6,13
2,Sandstone,13400,67,2,16
2,Aluminum,2000,4,3,10
2,Iron,38500,77,3,9
2,Marble,25500,17,5,17
2,Gold,16000,8,6,12
2,Marble,5500,55,1,12
2,Aluminum,25000,50,3,6
2,Sandstone,39000,39,4,10
2,Marble,19200,96,2,20
2,Copper,3100,31,1,20
2,Gold,23000,46,3,1
2,Sandstone,73000,73,4,18
2,Copper,2900,29,1,5
2,Marble,13600,68,2,18
2,Aluminum,20000,40,3,4
2,Iron,315000,63,7,16
2,Marble,1500,3,3,14
2,Sandstone,40500,81,3,10
2,Gold,10000,20,3,17
2,Marble,68000,34,6,4
2,Gold,130000,26,7,20
2,Sandstone,30000,20,5,13
2,Sandstone,27500,55,3,10
2,Aluminum,98000,49,6,5
2,Gold,265000,53,7,6
2,Iron,2700,27,1,8
2,Sandstone,405000,81,7,5
2,Iron,30000,15,6,15
2,Aluminum,24000,24,4,14
2,Iron,73000,73,4,7
2,Marble,105000,70,5,16
2,Aluminum,305000,61,7,14
2,Marble,81000,54,5,3
2,Marble,11000,55,2,6
2,Aluminum,37000,74,3,7
2,Copper,400,2,2,16
2,Marble,6000,30,2,19
2,Aluminum,500,5,1,20
2,Gold,7800,39,2,7
2,Copper,100000,20,7,13
2,Gold,19000,95,2,17
2,Aluminum,96000,96,4,2
2,Iron,315000,63,7,11
2,Gold,6500,65,1,15
2,Gold,265000,53,7,12
2,Marble,43500,87,3,13
2,Gold,110000,22,7,2
2,Aluminum,13400,67,2,18
2,Iron,5100,51,1,19
2,Copper,19000,38,3,17
2,Marble,70500,47,5,11
2,Sandstone,102000,51,6,3
2,Iron,4100,41,1,7
2,Copper,67000,67,4,9
2,Sandstone,3200,32,1,19
2,Marble,9500,19,3,1
2,Marble,46500,31,5,7
2,Iron,390000,78,7,12
2,Aluminum,375000,75,7,5
2,Sandstone,9800,98,1,18
2,Gold,180000,36,7,10
2,Iron,34500,23,5,10
2,Sandstone,16500,33,3,13
2,Sandstone,6300,63,1,5
2,Gold,122000,61,6,19
2,Gold,32000,16,6,1
2,Marble,500000,100,7,4
2,Sandstone,12800,64,2,4
2,Sandstone,39000,39,4,12
2,Gold,17000,85,2,15
2,Gold,180000,36,7,4
2,Sandstone,325000,65,7,3
2,Gold,6600,66,1,2
2,Sandstone,192000,96,6,15
2,Marble,50000,100,3,10
2,Aluminum,180000,36,7,12
2,Marble,106000,53,6,17
2,Copper,1000,10,1,13
2,Gold,29500,59,3,11
2,Copper,6200,62,1,17
2,Sandstone,156000,78,6,4
2,Iron,8900,89,1,20
2,Iron,186000,93,6,3
2,Marble,78000,52,5,6
2,Copper,33500,67,3,14
2,Aluminum,40000,40,4,17
2,Sandstone,60000,30,6,14
2,Copper,2500,25,1,15
2,Copper,430000,86,7,4
2,Marble,138000,69,6,9
2,Copper,8600,43,2,15
2,Marble,6000,60,1,3
2,Sandstone,5300,53,1,15
2,Sandstone,150000,75,6,17
2,Marble,19000,19,4,5
2,Aluminum,8000,4,6,18
2,Iron,1800,9,2,20
2,Marble,16600,83,2,11
2,Aluminum,6300,63,1,8
2,Sandstone,10500,21,3,5
2,Marble,325000,65,7,13
2,Iron,455000,91,7,12
2,Aluminum,34500,69,3,5
2,Sandstone,9000,9,4,3
2,Aluminum,32000,16,6,14
2,Gold,9600,48,2,14
2,Sandstone,9400,94,1,14
2,Sandstone,365000,73,7,19
2,Sandstone,8500,85,1,2
2,Iron,48000,48,4,13
2,Gold,75000,75,4,16
2,Sandstone,62000,31,6,16
2,Marble,26500,53,3,2
2,Aluminum,44000,44,4,14
2,Marble,1400,7,2,1
2,Gold,60000,60,4,10
2,Iron,315000,63,7,17
2,Marble,99000,66,5,19
2,Gold,120000,60,6,20
2,Sandstone,14200,71,2,5
2,Marble,31500,63,3,14
2,Sandstone,111000,74,5,13
2,Aluminum,19500,13,5,8
2,Marble,123000,82,5,19
2,Marble,45000,90,3,17
2,Marble,57000,38,5,18
2,Aluminum,410000,82,7,20
2,Copper,455000,91,7,9
2,Iron,99000,99,4,5
2,Marble,490000,98,7,9
2,Marble,15000,15,4,16
2,Marble,188000,94,6,3
2,Sandstone,53000,53,4,16
2,Aluminum,8200,41,2,7
2,Copper,66000,33,6,10
2,Copper,9100,91,1,14
2,Copper,34500,69,3,20
2,Marble,14200,71,2,8
2,Marble,6000,60,1,12
2,Iron,120000,80,5,17
2,Aluminum,18000,12,5,17
2,Sandstone,13500,27,3,2
2,Aluminum,37000,37,4,1
2,Marble,112500,75,5,4
2,Gold,98000,98,4,16
2,Copper,260000,52,7,2
2,Iron,200000,100,6,5
2,Marble,155000,31,7,1
2,Copper,200,1,2,10
2,Marble,100000,100,4,7
2,Marble,5000,10,3,10
2,Aluminum,46000,92,3,11
2,Sandstone,400,2,2,3
2,Aluminum,3700,37,1,14
2,Sandstone,31000,62,3,17
2,Copper,67000,67,4,14
2,Sandstone,6700,67,1,14
2,Aluminum,156000,78,6,2
2,Aluminum,10600,53,2,18
2,Gold,2500,5,3,13
2,Iron,166000,83,6,17
2,Marble,103500,69,5,20
2,Aluminum,350000,70,7,5
2,Aluminum,17800,89,2,16
2,Copper,9600,48,2,7
2,Sandstone,142500,95,5,13
2,Iron,375000,75,7,8
2,Copper,32500,65,3,6
2,Marble,69000,46,5,18
2,Copper,14000,28,3,15
2,Marble,73500,49,5,14
2,Sandstone,75000,15,7,6
2,Aluminum,12000,6,6,13
2,Iron,12500,25,3,7
2,Marble,18600,93,2,1
2,Marble,220000,44,7,20
2,Aluminum,93000,62,5,13
2,Aluminum,1400,7,2,13
2,Marble,50000,10,7,3
2,Iron,9200,46,2,5
2,Gold,13200,66,2,4
2,Aluminum,1000,2,3,11
2,Sandstone,198000,99,6,3
2,Copper,32000,64,3,12
